"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"SEN",2001,70.59427484556965220,38635.9968253339738397
"SEN",2002,164.43055442048605191,93226.977892458525907
"SEN",2003,37.78890444953397124,13805.2908616277052455
"SEN",2004,128.04695928375274852,42789.484242969975619
"SEN",2005,71.58203072296549817,51198.731088265820997
"SEN",2006,41.24825584623970233,18085.558894188807158
"SEN",2007,172.32132610701832465,66533.997430242157381
"SEN",2008,285.26992019948285288,85751.980933981977178
"SEN",2009,160.87326793595812505,55347.619880218063833
"SEN",2010,153.82539324719936238,54768.265370943341930
"SEN",2011,116.84204874571719865,38613.931353383102367
"SEN",2012,84.50333117818358460,27709.113675773507255
"SEN",2013,374.73767225882095057,175666.174794356462184
"SEN",2014,326.71520470969269089,124211.484518596612239
"SEN",2015,293.49623981819696156,96988.453771379059616
"SEN",2016,254.55735387669638632,90492.558170838561638
"SEN",2017,391.79548266343843800,143463.997554641356742
"SEN",2018,300.94409676495720328,96005.265749668514604
"SEN",2019,277.64000257541929934,77866.968784497659556
"SEN",2020,758.45816100406742690,220859.510068657228836
"SEN",2021,176.62630635852293417,88878.311455389074749
"SEN",2022,289.10913117446216761,120245.209426876391017
